term	df	idf
devilled	1	8.638703
devonshire	1	8.638703
devour	1	8.638703
devouring	1	8.638703
dew	4	7.252408
dewey	1	8.638703
dewy	1	8.638703
dhal	2	7.945555
di	8	6.559261
diabetic	16	5.866114
diabetics	3	7.540090
diable	1	8.638703
diablo	1	8.638703
diagnal	2	7.945555
diagnally	1	8.638703
diagnonal	1	8.638703
diagonal	22	5.547660
diagonally	47	4.788555
diameter	53	4.668411
diamond	9	6.441478
diamonds	5	7.029265
diapers	1	8.638703
dicard	1	8.638703
dice	92	4.116914
diced	712	2.070625
dicing	1	8.638703
dickinson	1	8.638703
dictates	1	8.638703
didn	14	5.999645
diego	2	7.945555
dies	1	8.638703
diet	15	5.930652
dietary	3	7.540090
differ	1	8.638703
difference	4	7.252408
different	36	5.055184
differently	1	8.638703
difficult	4	7.252408
difficulty	1	8.638703
diffrent	1	8.638703
dig	4	7.252408
digestible	1	8.638703
digestive	2	7.945555
digging	1	8.638703
dijon	150	3.628067
dill	192	3.381207
dilled	1	8.638703
dills	1	8.638703
dillweed	1	8.638703
dilly	1	8.638703
dilute	4	7.252408
diluted	5	7.029265
diminishing	1	8.638703
dimple	1	8.638703
diners	2	7.945555
ding	1	8.638703
dings	3	7.540090
dinner	66	4.449048
dinosaur	1	8.638703
dinty	1	8.638703
dip	286	2.982711
dipped	21	5.594180
dipper	1	8.638703
dippers	3	7.540090
dipping	76	4.307969
dips	3	7.540090
direcly	1	8.638703
direct	8	6.559261
directed	78	4.281994
directing	1	8.638703
direction	10	6.336118
directions	204	3.320583
directly	36	5.055184
directs	8	6.559261
dirt	3	7.540090
dirty	2	7.945555
disappear	4	7.252408
disappeared	1	8.638703
disappearing	1	8.638703
disappears	5	7.029265
disc	2	7.945555
discard	184	3.423767
discarded	13	6.073753
discarding	23	5.503208
discolor	1	8.638703
discoloration	1	8.638703
discourage	1	8.638703
discovered	1	8.638703
discretion	1	8.638703
discs	5	7.029265
disease	1	8.638703
disect	1	8.638703
disgarding	1	8.638703
dish	885	1.853115
dishe	1	8.638703
dishes	52	4.687459
dishtowel	3	7.540090
dishwasher	3	7.540090
disintegrate	1	8.638703
disjointed	2	7.945555
disk	10	6.336118
disks	6	6.846943
disney	2	7.945555
disolved	5	7.029265
dispense	1	8.638703
dispenser	2	7.945555
disperse	2	7.945555
disposable	5	7.029265
dissappears	1	8.638703
dissolive	1	8.638703
dissolve	109	3.947355
dissolved	123	3.826518
dissolves	37	5.027785
dissolving	5	7.029265
dissoved	1	8.638703
distilled	11	6.240807
distinct	2	7.945555
distribute	34	5.112342
distributed	13	6.073753
distributes	1	8.638703
distributing	2	7.945555
disturb	1	8.638703
disturbing	3	7.540090
ditalini	1	8.638703
ditallini	1	8.638703
ditributed	1	8.638703
ditto	1	8.638703
divan	7	6.692792
diverted	1	8.638703
divets	1	8.638703
divide	234	3.183381
divided	202	3.330435
dividing	6	6.846943
divinde	1	8.638703
divine	2	7.945555
divined	2	7.945555
divinely	1	8.638703
dixie	2	7.945555
dizzying	1	8.638703
dlightly	1	8.638703
dock	2	7.945555
doctor	1	8.638703
doesn	54	4.649719
dog	32	5.172967
doggy	2	7.945555
dogs	32	5.172967
dole	1	8.638703
doll	1	8.638703
dollar	3	7.540090
dollars	1	8.638703
dollop	47	4.788555
dolloping	2	7.945555
dollops	10	6.336118
dolly	2	7.945555
dollywood	1	8.638703
dome	1	8.638703
domed	2	7.945555
domes	1	8.638703
dominant	1	8.638703
dominion	1	8.638703
domino	2	7.945555
don	261	3.074182
donair	2	7.945555
donairs	1	8.638703
donald	1	8.638703
donauwelle	1	8.638703
done	421	2.596070
doneness	67	4.434010
dong	1	8.638703
donir	1	8.638703
dont	7	6.692792
donut	2	7.945555
donuts	5	7.029265
door	10	6.336118
doreen	2	7.945555
dorito	1	8.638703
doritos	8	6.559261
doro	1	8.638703
dot	34	5.112342
dots	2	7.945555
dotted	2	7.945555
dottie	1	8.638703
dou	1	8.638703
double	130	3.771168
doubled	46	4.810061
doubles	8	6.559261
doubling	4	7.252408
dough	526	2.373401
doughcrust	1	8.638703
doughnut	7	6.692792
doughnuts	15	5.930652
doughs	1	8.638703
dought	1	8.638703
doughy	3	7.540090
dousing	1	8.638703
dowjic	1	8.638703
down	399	2.649741
downloading	1	8.638703
downward	1	8.638703
downwards	3	7.540090
dozen	30	5.237505
dr	4	7.252408
draft	6	6.846943
drafts	3	7.540090
drag	1	8.638703
dragonfyre	1	8.638703
drain	863	1.878288
drained	580	2.275675
draining	13	6.073753
drains	1	8.638703
dramatic	1	8.638703
drambuie	4	7.252408
drape	1	8.638703
draw	1	8.638703
drawer	1	8.638703
dream	7	6.692792
dreamgoddess	1	8.638703
dreamland	2	7.945555
dreams	1	8.638703
dreamsicle	1	8.638703
dreamwhip	1	8.638703
dredge	51	4.706877
dredged	1	8.638703
dredging	5	7.029265
dress	7	6.692792
dressed	4	7.252408
dressing	326	2.851805
dressings	1	8.638703
driangles	1	8.638703
dribble	3	7.540090
dried	769	1.993612
drier	1	8.638703
dries	7	6.692792
drink	47	4.788555
drinking	9	6.441478
drinks	4	7.252408
drip	20	5.642970
dripped	1	8.638703
dripping	6	6.846943
drippings	66	4.449048
drips	3	7.540090
drisle	1	8.638703
drizzel	1	8.638703
drizzle	249	3.121250
drizzled	12	6.153796
drizzling	9	6.441478
drooling	1	8.638703
drooping	1	8.638703
droping	1	8.638703
drops	52	4.687459
droste	1	8.638703
drown	1	8.638703
drumettes	1	8.638703
drummettes	1	8.638703
drumstick	1	8.638703
drumsticks	13	6.073753
dry	1149	1.592055
dryed	1	8.638703
drying	13	6.073753
dryness	1	8.638703
dthe	1	8.638703
du	1	8.638703
dubious	1	8.638703
duck	15	5.930652
due	7	6.692792
dukkah	1	8.638703
dulce	4	7.252408
dulcet	3	7.540090
dull	4	7.252408
dulse	1	8.638703
dump	28	5.306498
dumping	3	7.540090
dumpling	9	6.441478
dumplings	37	5.027785
duncan	6	6.846943
dundee	1	8.638703
dunk	4	7.252408
dunkin	1	8.638703
during	87	4.172794
durkee	4	7.252408
durum	1	8.638703
dust	92	4.116914
dusted	8	6.559261
dustin	1	8.638703
dusting	30	5.237505
dutch	152	3.614822
duty	19	5.694264
dv	1	8.638703
dy	1	8.638703
ea	2	7.945555
eacg	1	8.638703
each	1006	1.724965
eachother	1	8.638703
eagle	8	6.559261
ear	3	7.540090
earl	3	7.540090
earlier	9	6.441478
earlobe	2	7.945555
early	6	6.846943
ears	15	5.930652
earth	7	6.692792
earthenware	2	7.945555
earthy	1	8.638703
ease	7	6.692792
easier	50	4.726680
easiest	18	5.748331
easily	97	4.063992
easing	1	8.638703
easliy	1	8.638703
eason	1	8.638703
east	2	7.945555
easter	3	7.540090
eastern	4	7.252408
easy	215	3.268065
eat	77	4.294897
eaten	8	6.559261
eaters	3	7.540090
eating	15	5.930652
eats	3	7.540090
ebelskiver	1	8.638703
eckrich	1	8.638703
eclair	2	7.945555
econo	1	8.638703
ecsarole	1	8.638703
ect	1	8.638703
ecuador	1	8.638703
ed	10	6.336118
edam	1	8.638703
edamame	10	6.336118
edamole	1	8.638703
eden	1	8.638703
edenfoods	1	8.638703
edge	90	4.138893
edged	2	7.945555
edges	259	3.081875
edible	5	7.029265
edit	3	7.540090
editing	1	8.638703
eegs	1	8.638703
een	1	8.638703
eentire	1	8.638703
effect	9	6.441478
effective	1	8.638703
efficient	1	8.638703
efficiently	1	8.638703
efforts	1	8.638703
eg	2	7.945555
egg	1608	1.255956
eggbeaters	1	8.638703
eggless	4	7.252408
eggnog	24	5.460649
eggnoodles	1	8.638703
eggplant	99	4.043583
eggplants	31	5.204715
eggrolls	1	8.638703
eggs	1704	1.197969
eggwhites	1	8.638703
eggy	3	7.540090
eggyolk	1	8.638703
eggyolks	1	8.638703
egyptian	7	6.692792
ehh	1	8.638703
eight	22	5.547660
eighteen	1	8.638703
eighth	3	7.540090
eighths	8	6.559261
eing	2	7.945555
either	78	4.281994
el	9	6.441478
elaichi	2	7.945555
elana	1	8.638703
elanaspantry	1	8.638703
elastic	24	5.460649
elasticity	1	8.638703
elasticy	1	8.638703
elbow	43	4.877502
elbows	1	8.638703
elderly	1	8.638703
electic	1	8.638703
electric	220	3.245075
electrix	1	8.638703
elegant	4	7.252408
element	4	7.252408
elements	1	8.638703
elevate	2	7.945555
eliminate	8	6.559261
eliminated	1	8.638703
eliminates	2	7.945555
elite	1	8.638703
elizabeth	2	7.945555
elk	2	7.945555
ellie	1	8.638703
elongated	1	8.638703
elote	1	8.638703
else	13	6.073753
em	5	7.029265
embellishes	1	8.638703
embutido	1	8.638703
emerald	1	8.638703
emerges	1	8.638703
emeril	7	6.692792
emerils	1	8.638703
emmentaler	2	7.945555
emmenthaler	2	7.945555
empanada	3	7.540090
empanadas	5	7.029265
emperature	1	8.638703
empty	19	5.694264
emulsifed	1	8.638703
emulsification	3	7.540090
emulsified	5	7.029265
emulsifier	1	8.638703
emulsifies	1	8.638703
emulsify	3	7.540090
emulsion	3	7.540090
en	3	7.540090
enamel	3	7.540090
enameled	2	7.945555
encase	1	8.638703
encephalopathies	1	8.638703
enchilada	40	4.949823
enchiladas	33	5.142195
enclose	4	7.252408
enclosed	3	7.540090
enclosing	4	7.252408
encourage	3	7.540090
encourages	1	8.638703
encrusted	1	8.638703
encyclopedia	1	8.638703
end	119	3.859579
ended	1	8.638703
ending	31	5.204715
endive	5	7.029265
endless	4	7.252408
ends	87	4.172794
ener	2	7.945555
energetic	1	8.638703
energy	2	7.945555
engagement	1	8.638703
england	7	6.692792
english	61	4.527829
enhance	5	7.029265
enhanced	1	8.638703
enhancer	4	7.252408
enjoy	358	2.758170
enoki	1	8.638703
enough	406	2.632349
enought	1	8.638703
ensure	32	5.172967
ensuring	3	7.540090
entering	1	8.638703
enters	1	8.638703
entire	48	4.767502
entirely	6	6.846943
entr	2	7.945555
entrails	1	8.638703
entree	5	7.029265
envelope	48	4.767502
envelopes	9	6.441478
epazote	2	7.945555
epsom	2	7.945555
eqq	1	8.638703
equal	82	4.231983
equalizer	1	8.638703
equally	15	5.930652
equals	2	7.945555
equilavents	2	7.945555
equipment	2	7.945555
equivalent	12	6.153796
erin	1	8.638703
erlich	1	8.638703
err	1	8.638703
error	1	8.638703
es	1	8.638703
escape	21	5.594180
escaped	1	8.638703
escapes	1	8.638703
escaping	2	7.945555
escarole	13	6.073753
eschalots	1	8.638703
escoffier	1	8.638703
eshalots	2	7.945555
especially	15	5.930652
esperanza	1	8.638703
espresso	35	5.083355
essence	32	5.172967
essential	8	6.559261
est	1	8.638703
estilo	1	8.638703
estimate	2	7.945555
estimated	4	7.252408
estimates	1	8.638703
etc	47	4.788555
etg	1	8.638703
ethiopian	5	7.029265
ethnic	2	7.945555
etouffee	2	7.945555
eurasian	1	8.638703
europe	1	8.638703
eva	1	8.638703
evaluate	1	8.638703
evans	2	7.945555
evaperated	1	8.638703
evaporate	11	6.240807
evaporated	165	3.532757
evaporates	20	5.642970
evaporation	1	8.638703
eve	2	7.945555
evelope	1	8.638703
even	136	3.726048
evening	4	7.252408
evenlty	1	8.638703
evenly	447	2.536144
ever	40	4.949823
everclear	2	7.945555
every	81	4.244253
everyday	1	8.638703
everyone	8	6.559261
everything	96	4.074354
evidence	1	8.638703
evoo	9	6.441478
ex	2	7.945555
exact	7	6.692792
exactly	10	6.336118
example	4	7.252408
exceed	1	8.638703
excellent	13	6.073753
except	198	3.350436
exceptionally	2	7.945555
excepts	1	8.638703
excess	184	3.423767
excessive	1	8.638703
exchange	2	7.945555
exchanges	1	8.638703
excluding	5	7.029265
existing	2	7.945555
exists	1	8.638703
exotic	6	6.846943
expand	3	7.540090
expanded	1	8.638703
expansion	1	8.638703
expel	2	7.945555
expensive	2	7.945555
experiance	1	8.638703
experience	2	7.945555
experiment	8	6.559261
explode	2	7.945555
explosive	1	8.638703
exported	1	8.638703
expose	3	7.540090
exposed	8	6.559261
exposing	1	8.638703
express	3	7.540090
extact	1	8.638703
extend	2	7.945555
extended	1	8.638703
extending	6	6.846943
exterior	5	7.029265
extinguish	1	8.638703
extinguished	1	8.638703
extinguisher	1	8.638703
extra	368	2.730620
extract	567	2.298343
extracts	11	6.240807
extras	2	7.945555
extravagance	1	8.638703
extravagant	1	8.638703
extreme	3	7.540090
extremely	6	6.846943
extremly	1	8.638703
ey	1	8.638703
eye	36	5.055184
eyeball	4	7.252408
eyed	15	5.930652
eyeglass	1	8.638703
eyeing	1	8.638703
eyes	12	6.153796
ez	1	8.638703
faatah	1	8.638703
fabio	1	8.638703
fabric	3	7.540090
fabulous	7	6.692792
face	15	5.930652
faced	2	7.945555
faces	1	8.638703
facial	2	7.945555
facilitate	1	8.638703
facing	5	7.029265
fact	1	8.638703
factors	1	8.638703
factory	4	7.252408
facts	2	7.945555
faded	1	8.638703
fage	1	8.638703
fagioli	1	8.638703
fagrance	1	8.638703
fahrenheit	37	5.027785
fail	6	6.846943
faint	1	8.638703
fair	2	7.945555
fairly	24	5.460649
fairy	1	8.638703
faith	1	8.638703
fajita	17	5.805489
fajitas	7	6.692792
fake	2	7.945555
falafel	5	7.029265
falafels	1	8.638703
fallowed	1	8.638703
falls	8	6.559261
falovored	1	8.638703
famed	1	8.638703
familar	1	8.638703
familiar	1	8.638703
family	16	5.866114
famous	8	6.559261
fan	23	5.503208
fancier	2	7.945555
fancy	8	6.559261
fanned	1	8.638703
fanning	1	8.638703
fans	1	8.638703
fantabulously	1	8.638703
fantastic	3	7.540090
far	8	6.559261
farenheit	5	7.029265
farfalle	5	7.029265
farheinet	1	8.638703
farina	3	7.540090
farm	9	6.441478
farmer	5	7.029265
farmhouse	3	7.540090
farms	4	7.252408
farnhieght	1	8.638703
farro	2	7.945555
farrotto	1	8.638703
fashion	12	6.153796
fashioned	34	5.112342
fast	48	4.767502
fasta	1	8.638703
fasten	2	7.945555
fastening	1	8.638703
faster	13	6.073753
fastly	1	8.638703
fat	701	2.086195
fatback	2	7.945555
fatfreevegan	1	8.638703
fats	2	7.945555
fattier	2	7.945555
fattoush	3	7.540090
fatty	12	6.153796
faucet	3	7.540090
faux	2	7.945555
fav	1	8.638703
fava	2	7.945555
favorite	148	3.641490
favorites	1	8.638703
favourite	18	5.748331
fawlty	1	8.638703
fe	4	7.252408
featherlight	1	8.638703
featherlite	1	8.638703
feathers	1	8.638703
featherweight	1	8.638703
feathery	1	8.638703
feature	1	8.638703
feb	1	8.638703
feed	9	6.441478
feeder	1	8.638703
feeding	1	8.638703
feels	7	6.692792
feet	6	6.846943
felafel	1	8.638703
felafels	1	8.638703
fennel	50	4.726680
fenugreek	11	6.240807
ferm	1	8.638703
ferment	1	8.638703
fermentation	1	8.638703
fermented	4	7.252408
fermenting	2	7.945555
ferns	2	7.945555
ferrare	1	8.638703
festive	4	7.252408
feta	136	3.726048
fettuccine	27	5.342866
fettuccini	2	7.945555
fettucine	2	7.945555
fettucini	2	7.945555
few	267	3.051454
fewer	3	7.540090
ff	1	8.638703
fh	1	8.638703
fiber	26	5.380606
fibers	5	7.029265
ficazza	1	8.638703
fiddlehead	1	8.638703
fiddleheads	2	7.945555
fideo	1	8.638703
fideos	1	8.638703
field	2	7.945555
fields	2	7.945555
fiend	1	8.638703
fieri	2	7.945555
fiery	2	7.945555
fiesta	5	7.029265
fifteen	5	7.029265
fifty	1	8.638703
fig	9	6.441478
fighter	1	8.638703
figs	11	6.240807
figure	2	7.945555
figured	1	8.638703
figures	1	8.638703
fil	3	7.540090
filaments	1	8.638703
file	5	7.029265
filet	15	5.930652
filete	1	8.638703
filets	9	6.441478
filhos	1	8.638703
filing	1	8.638703
filipino	1	8.638703
fill	200	3.340385
filled	49	4.746882
fillet	47	4.788555
filleted	2	7.945555
filleting	1	8.638703
fillets	160	3.563529
filling	328	2.845689
fillings	7	6.692792
fillng	1	8.638703
fillozes	1	8.638703
film	6	6.846943
filo	1	8.638703
filter	5	7.029265
filtered	6	6.846943
final	16	5.866114
finally	33	5.142195
finds	1	8.638703
fine	230	3.200623
finely	743	2.028007
finer	3	7.540090
fines	1	8.638703
finest	1	8.638703
finger	34	5.112342
fingerling	2	7.945555
fingerprint	1	8.638703
fingers	68	4.419195
fingertip	4	7.252408
fingertips	14	5.999645
finish	50	4.726680
finished	42	4.901033
finishes	1	8.638703
finishing	12	6.153796
finlandia	1	8.638703
finlayson	2	7.945555
finley	1	8.638703
finnish	4	7.252408
fins	1	8.638703
fiorentina	1	8.638703
fire	23	5.503208
fireballs	1	8.638703
firecracker	1	8.638703
firehouse	1	8.638703
fireplace	1	8.638703
firm	234	3.183381
firmer	6	6.846943
firmly	108	3.956571
firmness	2	7.945555
firms	2	7.945555
firmy	1	8.638703
firnee	1	8.638703
first	310	2.902130
fish	243	3.145641
fishy	1	8.638703
fist	2	7.945555
fit	53	4.668411
fits	2	7.945555
fitted	32	5.172967
fitter	1	8.638703
fitting	19	5.694264
five	87	4.172794
fix	1	8.638703
fixings	1	8.638703
fixins	2	7.945555
fizz	4	7.252408
fl	1	8.638703
flageolet	1	8.638703
flake	30	5.237505
flaked	61	4.527829
flakes	432	2.570277
flakey	5	7.029265
flaky	14	5.999645
flamb	3	7.540090
flambe	1	8.638703
flame	39	4.975141
flameproof	4	7.252408
flames	4	7.252408
flan	11	6.240807
flank	19	5.694264
flans	2	7.945555
flap	1	8.638703
flapjack	2	7.945555
flapjacks	2	7.945555
flaps	1	8.638703
flare	3	7.540090
flaring	1	8.638703
flash	1	8.638703
flashy	1	8.638703
flask	1	8.638703
flat	144	3.668889
flatbread	6	6.846943
flatbreads	1	8.638703
flatout	1	8.638703
flatten	83	4.219862
flattened	10	6.336118
flattening	2	7.945555
flattens	1	8.638703
flatter	2	7.945555
flauta	1	8.638703
flautas	2	7.945555
flavor	183	3.429216
flavord	1	8.638703
flavored	89	4.150066
flavorful	5	7.029265
flavoring	31	5.204715
flavorings	10	6.336118
flavors	69	4.404596
flavorwave	2	7.945555
flavour	23	5.503208
flavoured	2	7.945555
flavouring	4	7.252408
flavourings	1	8.638703
flavours	17	5.805489
flawless	1	8.638703
flax	35	5.083355
flaxseed	3	7.540090
flay	4	7.252408
flecked	1	8.638703
flecks	1	8.638703
fleichmans	1	8.638703
fleischmann	1	8.638703
flemish	1	8.638703
flesh	38	5.001116
fleshed	1	8.638703
fleur	5	7.029265
flexible	6	6.846943
flicked	1	8.638703
flip	83	4.219862
flipping	10	6.336118
float	22	5.547660
floating	3	7.540090
floats	2	7.945555
floor	1	8.638703
flops	1	8.638703
florence	3	7.540090
florentine	3	7.540090
floret	6	6.846943
florets	45	4.832040
florettes	1	8.638703
florida	1	8.638703
floss	2	7.945555
flounder	12	6.153796
flour	2841	0.686791
floured	217	3.258805
flouring	2	7.945555
flourless	1	8.638703
flours	28	5.306498
flow	2	7.945555
flower	10	6.336118
flowerets	3	7.540090
flowerettes	1	8.638703
flowers	6	6.846943
floyd	1	8.638703
fluff	32	5.172967
fluffier	2	7.945555
fluffiest	1	8.638703
fluffy	167	3.520709
fluid	40	4.949823
flush	2	7.945555
flute	6	6.846943
fluted	11	6.240807
flutes	1	8.638703
fluting	1	8.638703
fly	2	7.945555
flying	1	8.638703
fo	1	8.638703
foam	20	5.642970
foaming	4	7.252408
foams	2	7.945555
foamy	43	4.877502
focaccia	3	7.540090
foccacia	1	8.638703
foie	2	7.945555
foil	342	2.803892
foils	1	8.638703
fold	364	2.741549
folded	9	6.441478
folding	14	5.999645
folds	1	8.638703
follows	11	6.240807
fond	1	8.638703
fondant	1	8.638703
fondue	17	5.805489
fonduta	2	7.945555
fontina	13	6.073753
fonzanoon	2	7.945555
food	457	2.514019
foods	12	6.153796
foodstyles	1	8.638703
foodvac	1	8.638703
fool	1	8.638703
foot	3	7.540090
fora	2	7.945555
forbidden	2	7.945555
force	5	7.029265
forced	9	6.441478
forefinger	1	8.638703
foreman	3	7.540090
forest	5	7.029265
forever	1	8.638703
forewarned	1	8.638703
forget	4	7.252408
forgot	1	8.638703
forgotten	1	8.638703
fork	301	2.931592
forkfuls	1	8.638703
forks	26	5.380606
form	295	2.951727
formable	1	8.638703
forman	1	8.638703
formation	1	8.638703
formed	27	5.342866
forming	28	5.306498
forms	85	4.196051
formula	2	7.945555
forno	1	8.638703
forth	3	7.540090
forty	1	8.638703
forum	1	8.638703
forwards	1	8.638703
foster	2	7.945555
fougasse	1	8.638703
four	111	3.929172
foured	1	8.638703
fourme	1	8.638703
fourth	11	6.240807
fourths	12	6.153796
fr	1	8.638703
fra	1	8.638703
fragile	1	8.638703
fragrance	3	7.540090
fragrant	68	4.419195
fraiche	26	5.380606
framboise	3	7.540090
fran	1	8.638703
francisco	3	7.540090
frangelico	5	7.029265
frangipane	1	8.638703
frank	16	5.866114
frankfurter	1	8.638703
frankfurters	2	7.945555
franks	8	6.559261
frappuccino	1	8.638703
fraughan	1	8.638703
fraughans	1	8.638703
freak	1	8.638703
freddie	1	8.638703
free	288	2.975742
freestone	1	8.638703
freezable	1	8.638703
freeze	141	3.689943
freezer	104	3.994312
freezes	7	6.692792
freezing	10	6.336118
french	174	3.479647
frenched	1	8.638703
frequency	1	8.638703
frequently	154	3.601750
fresca	2	7.945555
fresco	3	7.540090
fresh	1643	1.234423
freshly	243	3.145641
freshness	1	8.638703
fresj	1	8.638703
frest	1	8.638703
fret	1	8.638703
fricassee	2	7.945555
fricos	1	8.638703
friday	2	7.945555
fridge	95	4.084826
fried	147	3.648270
friend	1	8.638703
friendly	3	7.540090
friends	4	7.252408
friendship	2	7.945555
fries	18	5.748331
frig	3	7.540090
frijoles	1	8.638703
frilled	1	8.638703
fris	1	8.638703
frisee	2	7.945555
frito	4	7.252408
fritos	11	6.240807
frittata	7	6.692792
fritters	6	6.846943
fritti	1	8.638703
frizzle	1	8.638703
frizzled	1	8.638703
fro	2	7.945555
frog	1	8.638703
from	1640	1.236251
fromage	1	8.638703
fromthe	1	8.638703
fronds	1	8.638703
front	4	7.252408
fros	1	8.638703
frosing	1	8.638703
frost	52	4.687459
frosted	18	5.748331
frosting	143	3.675858
frosts	1	8.638703
froth	3	7.540090
frothy	28	5.306498
frown	1	8.638703
frozen	568	2.296581
frozxen	1	8.638703
frshly	1	8.638703
fructose	1	8.638703
frugal	1	8.638703
frui	1	8.638703
fruit	191	3.386429
fruitcake	1	8.638703
fruited	1	8.638703
fruits	22	5.547660
fruity	3	7.540090
fry	422	2.593697
fryer	24	5.460649
frying	259	3.081875
fryingpan	1	8.638703
frypan	15	5.930652
ft	2	7.945555
fudge	60	4.544358
fudgies	1	8.638703
fudgsicles	1	8.638703
fudgy	7	6.692792
fuilds	1	8.638703
fuji	5	7.029265
ful	1	8.638703
full	128	3.786672
fuller	2	7.945555
fullpage	1	8.638703
fulls	1	8.638703
fully	68	4.419195
fun	2	7.945555
function	2	7.945555
funfetti	4	7.252408
funghi	1	8.638703
funicello	1	8.638703
funnel	7	6.692792
funny	1	8.638703
further	45	4.832040
fuse	1	8.638703
fusilli	19	5.694264
fuss	4	7.252408
future	5	7.029265
ga	1	8.638703
gabi	1	8.638703
gaeng	1	8.638703
gai	2	7.945555
gail	3	7.540090
gala	2	7.945555
galangal	4	7.252408
galatoire	1	8.638703
galette	2	7.945555
galliano	3	7.540090
gallo	5	7.029265
gallon	41	4.925131
gallons	3	7.540090
game	7	6.692792
ganache	7	6.692792
gandules	1	8.638703
gap	5	7.029265
gaps	2	7.945555
garam	25	5.419827
garbage	1	8.638703
garbanzo	33	5.142195
garbanzos	1	8.638703
garbonzo	1	8.638703
garden	15	5.930652
gardener	1	8.638703
gardeners	1	8.638703
garfava	1	8.638703
gargantag	1	8.638703
garic	2	7.945555
garlic	3085	0.604396
garlicky	1	8.638703
garlish	1	8.638703
garnet	1	8.638703
garni	9	6.441478
garnich	1	8.638703
garnish	482	2.460758
garnished	25	5.419827
garnishes	3	7.540090
garnishing	10	6.336118
garten	1	8.638703
gas	40	4.949823
gashes	1	8.638703
gateau	1	8.638703
gather	17	5.805489
gathered	2	7.945555
gauge	3	7.540090
gay	1	8.638703
gazpacho	4	7.252408
gbad	1	8.638703
gekkeikan	1	8.638703
gel	4	7.252408
gelatin	91	4.127843
gelatine	3	7.540090
gelatins	1	8.638703
geldner	1	8.638703
gels	1	8.638703
gem	1	8.638703
gemelli	1	8.638703
gems	1	8.638703
general	8	6.559261
generally	4	7.252408
genereous	1	8.638703
generic	1	8.638703
generous	30	5.237505
generously	62	4.511568
genly	1	8.638703
genoa	2	7.945555
genoise	1	8.638703
gental	1	8.638703
gentel	1	8.638703
gentle	26	5.380606
gentlemen	1	8.638703
gentley	2	7.945555
gently	427	2.581919
genuine	1	8.638703
george	3	7.540090
georgia	1	8.638703
germ	28	5.306498
german	27	5.342866
germany	1	8.638703
gerry	1	8.638703
gets	36	5.055184
gewurztraminer	1	8.638703
gf	5	7.029265
gfcf	1	8.638703
gg	1	8.638703
ghee	25	5.419827
gherkin	1	8.638703
gherkins	1	8.638703
ghiradelli	2	7.945555
ghirardelli	3	7.540090
ghiveci	1	8.638703
ghost	2	7.945555
giada	4	7.252408
giambotta	1	8.638703
giant	1	8.638703
giardiniera	2	7.945555
gibhardts	1	8.638703
gibhartds	1	8.638703
giblet	1	8.638703
giblets	5	7.029265
gifford	1	8.638703
gift	4	7.252408
gills	1	8.638703
gilroy	1	8.638703
gin	9	6.441478
gingelly	1	8.638703
ginger	640	2.177234
gingerale	1	8.638703
gingerbread	16	5.866114
gingerly	1	8.638703
gingerroot	59	4.561165
gingers	1	8.638703
gingersnap	1	8.638703
gingersnaps	1	8.638703
gingery	1	8.638703
gingley	1	8.638703
ginseng	2	7.945555
girl	2	7.945555
girlfriend	1	8.638703
gives	17	5.805489
gizzard	2	7.945555
gizzards	2	7.945555
glace	5	7.029265
glad	1	8.638703
glass	243	3.145641
glasses	36	5.055184
glassy	2	7.945555
glaze	118	3.868018
glazed	40	4.949823
glazing	8	6.559261
glide	1	8.638703
glisten	1	8.638703
glistening	1	8.638703
glitter	1	8.638703
glob	1	8.638703
globe	2	7.945555
gloopy	1	8.638703
glossily	1	8.638703
glossiness	1	8.638703
glossy	21	5.594180
gloves	15	5.930652
glow	1	8.638703
glue	5	7.029265
gluey	2	7.945555
gluing	1	8.638703
gluten	55	4.631369
glutinous	2	7.945555
glycerin	2	7.945555
gm	1	8.638703
gnocchi	23	5.503208
goal	1	8.638703
goat	31	5.204715
goats	1	8.638703
gob	1	8.638703
gobs	3	7.540090
gochujang	1	8.638703
god	1	8.638703
goddess	2	7.945555
godiva	3	7.540090
goes	20	5.642970
goetta	1	8.638703
goji	3	7.540090
gold	25	5.419827
golden	828	1.919689
goldenrod	1	8.638703
golder	1	8.638703
goldfish	1	8.638703
goldilock	1	8.638703
goldn	1	8.638703
golds	1	8.638703
goldschlager	2	7.945555
golf	10	6.336118
golfball	1	8.638703
gomashio	2	7.945555
gonna	1	8.638703
goo	2	7.945555
good	211	3.286844
goodness	1	8.638703
gooey	13	6.073753
goolash	1	8.638703
goong	1	8.638703
goose	7	6.692792
gordon	2	7.945555
gorgeous	3	7.540090
gorgonzola	23	5.503208
gorky	1	8.638703
gouda	14	5.999645
gouji	1	8.638703
goulash	8	6.559261
gound	1	8.638703
gourmet	5	7.029265
government	1	8.638703
goya	7	6.692792
gr	2	7.945555
grab	4	7.252408
grade	6	6.846943
grader	1	8.638703
gradually	262	3.070358
graham	90	4.138893
grahams	1	8.638703
grain	129	3.778890
grained	1	8.638703
graininess	1	8.638703
grains	16	5.866114
grainy	18	5.748331
gram	11	6.240807
grama	1	8.638703
gramm	1	8.638703
gramma	3	7.540090
grammie	1	8.638703
grammy	1	8.638703
grams	10	6.336118
grand	21	5.594180
grande	1	8.638703
grandfather	1	8.638703
grandma	25	5.419827
