surface	wiki_title	type
Ciceri e tria	Ciceri e tria	dish
Cider	Cider	ingredient
Cider Festival	Cider	ingredient
Cider Maker	Cider	ingredient
Cider Makers	Cider	ingredient
Cider festival	Cider	ingredient
Cider in France	Cider	ingredient
Cider in Germany	Apfelwein	ingredient
Cider jack	Cider	ingredient
Cider maker	Cider	ingredient
Cider makers	Cider	ingredient
Cider making	Cider	ingredient
Cider vinegar	Apple cider vinegar	dish
Cider-maker	Cider	ingredient
Cider-makers	Cider	ingredient
Cider-making	Cider	ingredient
Cidermaker	Cider	ingredient
Cidermakers	Cider	ingredient
Cidermaking	Cider	ingredient
Ciders	Cider	ingredient
Cidre	Cider	ingredient
Cidre Doux	Cider	ingredient
Cielo (company)	Cielo (company)	ingredient
Cielo corporation	Cielo (company)	ingredient
Cielo usa	Cielo (company)	ingredient
Cifantuan	Cifantuan	dish
Cig koefte	Çiğ köfte	dish
Cig kofte	Çiğ köfte	dish
Cigkoefte	Çiğ köfte	dish
Cigkofte	Çiğ köfte	dish
Cilandro	Coriander	ingredient
Cilantro	Coriander	ingredient
Cilatro	Coriander	ingredient
Cilbir	Çılbır	dish
Cilok	Cilok	dish
Cimarrao	Mate (drink)	ingredient
Cimarrão	Mate (drink)	ingredient
Cimarrón (drink)	Mate (drink)	ingredient
Cimcik erişte	Cimcik erişte	ingredient
Cime di Rapa	Rapini	ingredient
Cimedirape	Rapini	ingredient
Cincalok	Cincalok	ingredient
Cincin	Cincin	dish
Cincin (kuih)	Cincin	dish
Cinisara	Cinisara	dish
Cinnamon Bun Day	Cinnamon Roll Day	dish
Cinnamon Roll Day	Cinnamon Roll Day	dish
Cinnamon roll day	Cinnamon Roll Day	dish
Cinnamon toast	Toast (food)	dish
Cinta Senese	Cinta Senese	dish
Cinta senese	Cinta Senese	dish
Ciopino	Cioppino	dish
Cioppino	Cioppino	dish
Ciorba	Chorba	dish
Ciorba de perisoare	Ciorbă de perișoare	dish
Ciorba de sfecla	Borscht	dish
Ciorbă	Chorba	dish
Ciorbă de perişoare	Ciorbă de perișoare	dish
Ciorbă de perișoare	Ciorbă de perișoare	dish
Ciorbă de sfeclă	Borscht	dish
Cipaille	Sea-pie	dish
Circassian ravioli	Mataz	ingredient
Circassian smoked cheese	Circassian smoked cheese	ingredient
Ciriole	Spaghetti alla chitarra	ingredient
Cirku	CocoaVia	dish
Ciroc	Cîroc	ingredient
Cironka	Cironka	ingredient
Cirrus Vodka	Cirrus Vodka	ingredient
Cisco (wine)	Cisco (wine)	ingredient
Cissel bread	Jewish rye bread	dish
Citadelle (gin)	Citadelle (gin)	ingredient
Citra (India)	Citra (drink)	ingredient
Citra (drink)	Citra (drink)	ingredient
Citra (soft drink)	Fanta Citrus	ingredient
Citris	Citrus	dish
Citrofortunella	Citrofortunella	ingredient
Citrofortunella microcarpa	Calamansi	ingredient
Citrofortunella mitis	Calamansi	ingredient
Citrology	Citrus	dish
Citrous	Citrus	dish
Citrullus lanatus	Watermelon	ingredient
Citrullus lanatus lanatus	Watermelon	ingredient
Citrullus lanatus subsp. vulgaris var. cordophanus	Watermelon	ingredient
Citrullus lanatus var. lanatus	Watermelon	ingredient
Citrullus vulgaris	Watermelon	ingredient
Citrus	Citrus	dish
Citrus Juice	Citrus	dish
Citrus crop	Citrus	dish
Citrus cultivar	Citrus	dish
Citrus fruit	Citrus	dish
Citrus fruit growing	Citrus	dish
Citrus fruits	Citrus	dish
Citrus juice	Citrus	dish
Citrus limon var. pompia	Pompia	ingredient
Citrus limon var. pompia var. nova	Pompia	ingredient
Citrus madurensis	Calamansi	ingredient
Citrus medica monstruosa	Pompia	ingredient
Citrus medica tuberosa	Pompia	ingredient
Citrus microcarpa	Calamansi	ingredient
Citrus mitis	Calamansi	ingredient
Citrus monstruosa	Pompia	ingredient
Citrus tenuissima	Dangyuja	dish
Citrus x fortunella	Citrofortunella	ingredient
Citrus x microcarpa	Calamansi	ingredient
Citrus x monstruosa	Pompia	ingredient
Citrus × microcarpa	Calamansi	ingredient
Citrus ×microcarpa	Calamansi	ingredient
Citruses	Citrus	dish
Citrusy	Citrus	dish
City Dairy Company Limited	City Dairy Company Limited	ingredient
Ciulama	Ciulama	dish
Ciğer kebabı	Ciğer kebabı	ingredient
Ciğer sarması	Offal	dish
Cjarsons	Cjarsons	dish
Cjarsons al burro	Cjarsons	dish
Ck vodka	Polmos Łańcut	ingredient
Clabber (food)	Clabber (food)	dish
Clafouti	Clafoutis	dish
Clafoutis	Clafoutis	dish
Clam Bake	Clambake	dish
Clam bake	Clambake	dish
Clam bakes	Clambake	dish
Clam boil	Clambake	dish
Clamato	Clamato	dish
Clamato juice	Clamato	dish
Clambake	Clambake	dish
Clapshot	Clapshot	dish
Clara (beverage)	Shandy	ingredient
Clarence Birdseye	Clarence Birdseye	dish
Clarence Frank Birdseye	Clarence Birdseye	dish
Clarification (cooking)	Broth	dish
Classic Coke	Coca-Cola	ingredient
Classic Cola (Olvi)	Olvi Cola	ingredient
Classic coke	Coca-Cola	ingredient
Classico (pasta sauce)	Kraft Heinz	ingredient
Clatita	Palatschinke	dish
Clausthaler	Dr. Oetker	dish
Clavarioidia	Opuntia	ingredient
Clayuda	Tlayuda	dish
Clear cola	Cola	ingredient
Clear soup	Soup	dish
Clear soups	Soup	dish
Clearly Canadian	Clearly Canadian	ingredient
Clearwater Seafoods	Clearwater Seafoods	ingredient
Clearwater Seafoods Limited Partnership	Clearwater Seafoods	ingredient
Cleeve's Toffee	Condensed Milk Company of Ireland	ingredient
Cleeve's factory	Condensed Milk Company of Ireland	ingredient
Cleeves Riverside Quarter	Condensed Milk Company of Ireland	ingredient
Cleeves factory	Condensed Milk Company of Ireland	ingredient
Clemens Toennies	Tönnies Holding	ingredient
Clemole	Clemole	dish
Clif Bar	Clif Bar	dish
Clif Bar &amp; Company	Clif Bar	dish
Clif Bars	Clif Bar	dish
Clif bar	Clif Bar	dish
Clif bars	Clif Bar	dish
Cliff Bar	Clif Bar	dish
Cliff bar	Clif Bar	dish
Clinocardium	Clinocardium	ingredient
Clinocardium nuttallii	Clinocardium	ingredient
Clipfish	Dried and salted cod	dish
Clipper Cocktail	El Presidente (cocktail)	ingredient
Clique (vodka)	Clique (vodka)	ingredient
Cloister (cocktail)	Cloister (cocktail)	ingredient
Clontarf (whiskey)	Clontarf (whiskey)	ingredient
Clorot	Clorot	dish
Cloudy 2	Cloudy with a Chance of Meatballs 2	ingredient
Cloudy 2: Revenge of the Leftovers	Cloudy with a Chance of Meatballs 2	ingredient
Cloudy With A Chance Of Meatballs	Cloudy with a Chance of Meatballs	ingredient
Cloudy With A Chance Of Meatballs (film)	Cloudy with a Chance of Meatballs (film)	ingredient
Cloudy With A Chance Of Meatballs 2	Cloudy with a Chance of Meatballs 2	ingredient
Cloudy With A Chance of Meatballs (film)	Cloudy with a Chance of Meatballs (film)	ingredient
Cloudy with A Chance of Meatballs	Cloudy with a Chance of Meatballs	ingredient
Cloudy with a Chance of Meatballs	Cloudy with a Chance of Meatballs	ingredient
Cloudy with a Chance of Meatballs (film)	Cloudy with a Chance of Meatballs (film)	ingredient
Cloudy with a Chance of Meatballs (soundtrack)	Cloudy with a Chance of Meatballs (film)	ingredient
Cloudy with a Chance of Meatballs (video game)	Cloudy with a Chance of Meatballs (video game)	ingredient
Cloudy with a Chance of Meatballs 2	Cloudy with a Chance of Meatballs 2	ingredient
Cloudy with a chance of meatballs	Cloudy with a Chance of Meatballs	ingredient
Cloudy with a chance of meatballs 2	Cloudy with a Chance of Meatballs 2	ingredient
Clouse, Mark	Mark Clouse	dish
Clove of garlic	Garlic	ingredient
Clover (spread)	Clover (spread)	ingredient
Clover Club Cocktail	Clover Club cocktail	ingredient
Clover Club cocktail	Clover Club cocktail	ingredient
Clover Sonoma	Clover Sonoma	ingredient
Clover Stornetta	Clover Sonoma	ingredient
Clover Stornetta Farms	Clover Sonoma	ingredient
Clover Stornetta Inc.	Clover Sonoma	ingredient
Clover club	Clover Club cocktail	ingredient
Clover club cocktail	Clover Club cocktail	ingredient
Clover organic	Clover Sonoma	ingredient
Clover spread	Clover (spread)	ingredient
Club (biscuit)	Club (biscuit)	dish
Club (soft drink)	Club (soft drink)	ingredient
Club Cola	Club Cola	ingredient
Club Energise	Club (soft drink)	ingredient
Club Mate	Club-Mate	ingredient
Club Milk	Club (biscuit)	dish
Club biscuit	Club (biscuit)	dish
Club cheese	Cold pack cheese	ingredient
Club mate	Club-Mate	ingredient
Club-Cola	Club Cola	ingredient
Club-Mate	Club-Mate	ingredient
Club-mate	Club-Mate	ingredient
Clubmate	Club-Mate	ingredient
Clătită	Palatschinke	dish
Cmoki	Knödel	dish
Cnigle	Knödel	dish
Co-Jack	Colby-Jack	ingredient
Co-cola	Coca-Cola	ingredient
Coagulated milk curd	Curd	dish
Coagulation (milk)	Curd	dish
Coagulum of curd	Curd	dish
Coalhada	Cuajada	dish
Coban salatasi	Çoban salatası	dish
Cobbler (food)	Cobbler (food)	dish
Cobblestone Mill	Flowers Foods	dish
Cobra's fang	Cobra's fang	ingredient
Cobu	Cobu	dish
Coca (pastry)	Coca (pastry)	dish
Coca -cola	Coca-Cola	ingredient
Coca Cola	Coca-Cola	ingredient
Coca Cola BlacK	Coca-Cola BlāK	ingredient
Coca Cola Blak	Coca-Cola BlāK	ingredient
Coca Cola C2	Coca-Cola C2	ingredient
Coca Cola Canada	Coca-Cola	ingredient
Coca Cola Classic	Coca-Cola	ingredient
Coca Cola Life	Coca-Cola Life	ingredient
Coca Cola Light	Diet Coke	ingredient
Coca Cola Zero	Coca-Cola Zero Sugar	ingredient
Coca Cola Zero Sugar	Coca-Cola Zero Sugar	ingredient
Coca Cola black	Coca-Cola BlāK	ingredient
Coca cola	Coca-Cola	ingredient
Coca cola black cherry vanilla	Coca-Cola Black Cherry Vanilla	ingredient
Coca cola christmas advert	Coca-Cola	ingredient
Coca cola light	Diet Coke	ingredient
Coca cola vanilla	Coca-Cola Vanilla	ingredient
Coca cola zero	Coca-Cola Zero Sugar	ingredient
Coca light	Diet Coke	ingredient
Coca-Cola	Coca-Cola	ingredient
Coca-Cola (soft drink)	Coca-Cola	ingredient
Coca-Cola 0	Coca-Cola Zero Sugar	ingredient
Coca-Cola 1	Coca-Cola	ingredient
Coca-Cola Australia Foundation	Coca-Cola	ingredient
Coca-Cola BlaK	Coca-Cola BlāK	ingredient
Coca-Cola BlaKe	Coca-Cola BlāK	ingredient
Coca-Cola Black	Coca-Cola BlāK	ingredient
Coca-Cola Black Cherry Vanilla	Coca-Cola Black Cherry Vanilla	ingredient
Coca-Cola Blak	Coca-Cola BlāK	ingredient
Coca-Cola Blake	Coca-Cola BlāK	ingredient
Coca-Cola BlāK	Coca-Cola BlāK	ingredient
Coca-Cola BlāKe	Coca-Cola BlāK	ingredient
Coca-Cola Blāck	Coca-Cola BlāK	ingredient
Coca-Cola Blāk	Coca-Cola BlāK	ingredient
Coca-Cola Byte	Coca-Cola Creations	ingredient
Coca-Cola C2	Coca-Cola C2	ingredient
Coca-Cola Cherry	Coca-Cola Cherry	ingredient
Coca-Cola Cherry Zero	Coca-Cola Zero Sugar	ingredient
Coca-Cola Classic	Coca-Cola	ingredient
Coca-Cola Clear	Coca-Cola Clear	ingredient
Coca-Cola Coffee Plus	Coca-Cola with Coffee	ingredient
Coca-Cola Creations	Coca-Cola Creations	ingredient
Coca-Cola Diet	Diet Coke	ingredient
Coca-Cola Dreamworld	Coca-Cola Creations	ingredient
Coca-Cola Fiber+	Coca-Cola Fiber+	ingredient
Coca-Cola Free	Caffeine-Free Coca-Cola	ingredient
Coca-Cola Intergalactic	Coca-Cola Creations	ingredient
Coca-Cola Lemon	Coca-Cola Lemon	ingredient
Coca-Cola Life	Coca-Cola Life	ingredient
Coca-Cola Light	Diet Coke	ingredient
Coca-Cola M5	Coca-Cola	ingredient
Coca-Cola Marshmello	Coca-Cola Creations	ingredient
Coca-Cola Move	Coca-Cola Creations	ingredient
Coca-Cola No Sugar	Coca-Cola Zero Sugar	ingredient
Coca-Cola Orange	Coca-Cola Orange	ingredient
Coca-Cola Orange Vanilla	Coca-Cola Orange Vanilla	ingredient
Coca-Cola Raspberry	Coca-Cola Raspberry	dish
Coca-Cola Spiced	Coca-Cola Spiced	ingredient
Coca-Cola Starlight	Coca-Cola Creations	ingredient
Coca-Cola Ultimate	Coca-Cola Creations	ingredient
Coca-Cola Vanilla	Coca-Cola Vanilla	ingredient
Coca-Cola Vanilla Zero	Coca-Cola Vanilla	ingredient
Coca-Cola Zero	Coca-Cola Zero Sugar	ingredient
Coca-Cola Zero Sugar	Coca-Cola Zero Sugar	ingredient
Coca-Cola advertising	Coca-Cola	ingredient
Coca-Cola black	Coca-Cola BlāK	ingredient
Coca-Cola bottle	Coca-Cola	ingredient
Coca-Cola light	Diet Coke	ingredient
Coca-Cola logo	Coca-Cola	ingredient
Coca-Cola marketing	Coca-Cola	ingredient
Coca-Cola with Coffee	Coca-Cola with Coffee	ingredient
Coca-Cola with Lemon	Coca-Cola Lemon	ingredient
Coca-Cola with Orange	Coca-Cola Orange	ingredient
Coca-Cola with Stevia	Coca-Cola Life	ingredient
Coca-cola	Coca-Cola	ingredient
Coca-cola light	Diet Coke	ingredient
Coca-cola orange	Coca-Cola Orange	ingredient
Coca-cola zero	Coca-Cola Zero Sugar	ingredient
Coca-cola.com	Coca-Cola	ingredient
Coca-colas	Coca-Cola	ingredient
Coca=Cola	Coca-Cola	ingredient
CocaCola	Coca-Cola	ingredient
CocaCola Zero	Coca-Cola Zero Sugar	ingredient
CocaCola.com	Coca-Cola	ingredient
Cocacola	Coca-Cola	ingredient
Cocacola zero	Coca-Cola Zero Sugar	ingredient
Cocacola.com	Coca-Cola	ingredient
Cocada	Cocada	dish
Cocada (version 2)	Cocada	dish
Cocadas	Cocada	dish
Cocaine (drink)	Cocaine (drink)	ingredient
Cocaine (energy drink)	Cocaine (drink)	ingredient
Cocaine Energy Drink	Cocaine (drink)	ingredient
Cocaine drink	Cocaine (drink)	ingredient
Cocchi Americano	Cocchi Americano	ingredient
Cocchi Apertivo Americano	Cocchi Americano	ingredient
Cochinito de Piloncillo	Cochinito de piloncillo	dish
Cochinito de piloncillo	Cochinito de piloncillo	dish
Cochinitos	Cochinito de piloncillo	dish
Cochlearia armoracia	Horseradish	ingredient
Cochlearia lancifolia	Horseradish	ingredient
Cochlearia lapathifolia	Horseradish	ingredient
Cochlearia rusticana	Horseradish	ingredient
Cochlearia variifolia	Horseradish	ingredient
Cochonaille	Cochonnaille	dish
Cochonnaille	Cochonnaille	dish
Cocido	Cocido	dish
Cocido Montanes	Cocido montañés	dish
Cocido Montañés	Cocido montañés	dish
Cocido madrileno	Cocido madrileño	dish
Cocido madrileño	Cocido madrileño	dish
Cocido montanes	Cocido montañés	dish
Cocido montañés	Cocido montañés	dish
Cocio	Cocio	dish
Cock o' the North (liqueur)	Cock o' the North (liqueur)	ingredient
Cock sauce	Huy Fong sriracha	condiment
Cock-a-leekie	Cock-a-leekie	dish
Cock-a-leekie soup	Cock-a-leekie	dish
Cockaleekie	Cock-a-leekie	dish
Cockentrice	Cockentrice	dish
Cocket bread	Hardtack	ingredient
Cockie-leekie	Cock-a-leekie	dish
Cockle (bivalve)	Cockle (bivalve)	dish
Cockta	Cockta	ingredient
Cocktail nut	Borrelnootje	dish
Cocktail weeny	Hot dog variations	dish
Cocktails with cachaca	Cocktails with cachaça	ingredient
Cocktails with cachaça	Cocktails with cachaça	ingredient
Cocktion	Cocktion	dish
Cocky's Joy	Damper (food)	dish
Coco cola	Coca-Cola	ingredient
Coco van	Coq au vin	dish
Coco yam	Cocoyam	dish
Coco-yam	Cocoyam	dish
Cocoa Cola Zero	Coca-Cola Zero Sugar	ingredient
Cocoa industry	Chocolate	dish
Cocoa pro	CocoaVia	dish
Cocoa processed with alkali	Dutch process cocoa	ingredient
Cocoa production	Chocolate	dish
Cocoa via	CocoaVia	dish
Cocoa-free chocolate alternative	Cocoa-free chocolate alternative	dish
CocoaVia	CocoaVia	dish
Cocoapro	CocoaVia	dish
Cocol	Cocol	dish
Cocolli	Cocol	dish
Cocolosi	Cocoloși	dish
Cocoloşi	Cocoloși	dish
Cocoloși	Cocoloși	dish
Coconut barfi	Barfi	dish
Coconut caramel	Latik	dish
Coconut cream curd	Latik	dish
Coconut cream curds	Latik	dish
Coconut curd	Latik	dish
Coconut curds	Latik	dish
Coconut fish	'Ota 'ika	dish
Coconut gel	Nata de coco	dish
Coconut idli	Idli	dish
Coconut lamaw	Lamaw	dish
Coconut macapuno cake	Buko pandan cake	dish
Coconut macaroon	Macaroon	dish
Coconut milk curds	Latik	dish
Coconut milk powder	Coconut milk powder	dish
Coconut nectar	Neera	ingredient
Coconut pandan	Karuka	ingredient
Coconut pandan cake	Buko pandan cake	dish
Coconut red wine	Bahalina	ingredient
Coconut rum	Rum	ingredient
Coconut sport	Macapuno	dish
Coconut syrup	Latik	dish
Coconut vodka	Lambanog	ingredient
Coconut wine	Arrack	ingredient
Cocoretch	Kokoretsi	dish
Cocos (Keeling) Islands cuisine	Cocos (Keeling) Islands cuisine	cuisine
Cocossian cuisine	Cocos (Keeling) Islands cuisine	cuisine
Cocotero	Mojojoy	ingredient
Cocovan	Coq au vin	dish
Cocoyam	Cocoyam	dish
Cod (food)	Cod as food	dish
Cod as food	Cod as food	dish
Cod au gratin	Cod au gratin	dish
Coda alla vaccinara	Coda alla vaccinara	dish
Coddies	Coddies	dish
Coddle	Coddle	dish
Coddling	Coddling	technique
Coeng fan	Rice noodle roll	dish
Coerek	Tsoureki	dish
Coeur de palmier	Heart of palm	ingredient
Cofaco	Cofaco	ingredient
Cofaco Açores	Cofaco	ingredient
Cofee (drink)	Coffee	ingredient
CoffTea	Yuenyeung	ingredient
Coffe cake	Coffee cake (American)	dish
Coffe mate	Coffee-Mate	dish
Coffee	Coffee	ingredient
Coffee (beverage)	Coffee	ingredient
Coffee (drink)	Coffee	ingredient
Coffee Cake	Coffee cake (American)	dish
Coffee Crisp	Coffee Crisp	dish
Coffee Mate	Coffee-Mate	dish
Coffee and donut	Coffee and doughnuts	dish
Coffee and donuts	Coffee and doughnuts	dish
Coffee and doughnut	Coffee and doughnuts	dish
Coffee and doughnuts	Coffee and doughnuts	dish
Coffee and walnut cake	Coffee and walnut cake	dish
Coffee brewing method	Coffee	ingredient
Coffee brews	Coffee	ingredient
Coffee cake (American)	Coffee cake (American)	dish
Coffee creamer	Non-dairy creamer	dish
Coffee crisp	Coffee Crisp	dish
Coffee grog	Hot buttered rum	ingredient
Coffee ice cream	Coffee ice cream	dish
Coffee in Saudi Arabia	Saudi Arabian cuisine	cuisine
Coffee mate	Coffee-Mate	dish
Coffee shot	Espresso	ingredient
Coffee whitener	Non-dairy creamer	dish
Coffee-Mate	Coffee-Mate	dish
Coffeecake	Coffee cake (American)	dish
Coffeemate	Coffee-Mate	dish
Coffees	Coffee	ingredient
Cognac	Cognac	ingredient
Cognac (brandy)	Cognac	ingredient
Cognac (drink)	Cognac	ingredient
Cognac (spirit)	Cognac	ingredient
Cognac Skënderbeu	Cognac Skënderbeu	ingredient
Cognacs	Cognac	ingredient
Cohasset Punch	Cohasset Punch	ingredient
Coin tea	Doncha	dish
Cointreau	Cointreau	ingredient
Cojack	Colby-Jack	ingredient
Cojito	Cojito	ingredient
Coka cola	Coca-Cola	ingredient
Coke (cola)	Coca-Cola	ingredient
Coke (drink)	Coca-Cola	ingredient
Coke (soft drink)	Coca-Cola	ingredient
Coke 0	Coca-Cola Zero Sugar	ingredient
Coke Black	Coca-Cola BlāK	ingredient
Coke Blak	Coca-Cola BlāK	ingredient
Coke Blake	Coca-Cola BlāK	ingredient
Coke Blāk	Coca-Cola BlāK	ingredient
Coke Bottle	Coca-Cola	ingredient
Coke C2	Coca-Cola C2	ingredient
Coke Classic	Coca-Cola	ingredient
Coke Clear	Coca-Cola Clear	ingredient
Coke Coffee	Coca-Cola BlāK	ingredient
Coke Life	Coca-Cola Life	ingredient
Coke Light	Diet Coke	ingredient
Coke Lite	Diet Coke	ingredient
Coke Mini	Coca-Cola	ingredient
Coke Vanilla	Coca-Cola Vanilla	ingredient
Coke Zero	Coca-Cola Zero Sugar	ingredient
Coke Zero Sugar	Coca-Cola Zero Sugar	ingredient
Coke and capitalism	Coca-Cola	ingredient
Coke and rum	Rum and Coke	ingredient
Coke bottle	Coca-Cola	ingredient
Coke bottles	Coca-Cola	ingredient
Coke c2	Coca-Cola C2	ingredient
Coke float	Ice cream float	ingredient
Coke mini	Coca-Cola	ingredient
Coke plus	Diet Coke Plus	ingredient
Coke soda	Coca-Cola	ingredient
Coke with lemon	Coca-Cola Lemon	ingredient
Coke zero	Coca-Cola Zero Sugar	ingredient
Coke-Cola	Coca-Cola	ingredient
Cokezero	Coca-Cola Zero Sugar	ingredient
Cokodok	Jemput-jemput	dish
Col de palma	Heart of palm	ingredient
Col. E. H. Taylor	Old Taylor	ingredient
Col. E.H. Taylor	Old Taylor	ingredient
Col. E.H. Taylor, Jr	Old Taylor	ingredient
Cola	Cola	ingredient
Cola Cao	Cola Cao	ingredient
Cola Couronne	Cola Couronne	ingredient
Cola Lacaye	Cola Lacaye	ingredient
Cola Turka	Cola Turka	ingredient
Cola Zero	Coca-Cola Zero Sugar	ingredient
Cola beverage	Cola	ingredient
Cola cao	Cola Cao	ingredient
Cola drinks	Cola	ingredient
Cola light	Cola	ingredient
Cola-cao	Cola Cao	ingredient
ColaCao	Cola Cao	ingredient
Colabier	Shandy	ingredient
Colac (bread)	Kolach (bread)	dish
Colac (food)	Kolach (bread)	dish
Colaci	Kolach (bread)	dish
Colatura di Alici	Colatura di alici	dish
Colatura di alici	Colatura di alici	dish
Colaz	Colaz	dish
Colbert sauce	Béarnaise sauce	dish
Colby Jack	Colby-Jack	ingredient
Colby Jack cheese	Colby-Jack	ingredient
Colby jack	Colby-Jack	ingredient
Colby-Jack	Colby-Jack	ingredient
Colby-Jack cheese	Colby-Jack	ingredient
Colby-Jack cheese (Cojack)	Colby-Jack	ingredient
Colby-jack	Colby-Jack	ingredient
Colcannon	Colcannon	dish
Colcasia	Taro	dish
Cold Beet Soup	Borscht	dish
Cold Pack Cheese Spread	Cold pack cheese	ingredient
Cold Soup	Soup	dish
Cold beet soup	Borscht	dish
Cold borsch	Borscht	dish
Cold borscht	Borscht	dish
Cold buttermilk soup	Buttermilk koldskål	dish
Cold ginger chicken	White cut chicken	dish
Cold oatmeal	Muesli	dish
Cold pack cheese	Cold pack cheese	ingredient
Cold panned process	Panning (food)	technique
Cold slaw	Coleslaw	dish
Cold smoked	Smoking (cooking)	technique
Cold smoking	Smoking (cooking)	technique
Cold soup	Soup	dish
Cold-pack cheese	Cold pack cheese	ingredient
Cold-smoking	Smoking (cooking)	technique
Coldslaw	Coleslaw	dish
Cole slaw	Coleslaw	dish
Coleman Natural	Perdue Farms	ingredient
Coleman Natural Foods	Perdue Farms	ingredient
Coleslaw	Coleslaw	dish
Coleus edulis	Coleus maculosus subsp. edulis	ingredient
Coleus maculosus subsp. edulis	Coleus maculosus subsp. edulis	ingredient
Coliflower	Cauliflower	ingredient
Colin Caterpillar	Colin the Caterpillar	dish
Colin the Caterpillar	Colin the Caterpillar	dish
Coliva	Koliva	dish
Colivă	Koliva	dish
Collard (plant)	Collard (plant)	ingredient
Collard Greens	Collard (plant)	ingredient
Collard green	Collard (plant)	ingredient
Collard greens	Collard (plant)	ingredient
Collards	Collard (plant)	ingredient
Collared greens	Collard (plant)	ingredient
College Inn Foods	Del Monte Foods	dish
Collered greens	Collard (plant)	ingredient
Colli di Sant'Erasmo	Colli di Sant'Erasmo	ingredient
Collins (cocktail)	Tom Collins	ingredient
Collins mix	Tom Collins	ingredient
Collop	Collops	dish
Collops	Collops	dish
Colman's	Colman's	condiment
Colo-colo (condiment)	Colo-colo (condiment)	dish
Colocasia antiquorum	Eddoe	dish
Colocasia esculenta	Taro	dish
Colocasia with lamb	Colocasia with lamb	dish
Colombia (cocktail)	Colombia (cocktail)	ingredient
Colombian sausage	Sausage	dish
Colonche	Colonche	ingredient
Colonel E. H. Taylor	Old Taylor	ingredient
Colonel E. H. Taylor, Jr.	Old Taylor	ingredient
Colorado Native	Colorado Native Lager	ingredient
Colorado Native Lager	Colorado Native Lager	ingredient
Colorado mountain pie	Colorado-style pizza	ingredient
Colorado pizza	Colorado-style pizza	ingredient
Colorado-style pizza	Colorado-style pizza	ingredient
Colorau	Paprika	ingredient
Colt 45 (malt liquor)	Colt 45 (malt liquor)	ingredient
Coltunasi	Pierogi	dish
Columbia (cocktail)	Colombia (cocktail)	ingredient
Columbus Craft Meats	Columbus Craft Meats	dish
Columbus Salame	Columbus Craft Meats	dish
Colyba	Koliva	dish
Colybae	Koliva	dish
Colybas	Koliva	dish
Colybus	Koliva	dish
Colún (dairy)	Cooperativa Agrícola y Lechera de La Unión Limitada	ingredient
Colţunaşi	Pierogi	dish
Colțunași	Pierogi	dish
Com binh dan	Cơm bình dân	dish
Com bui	Cơm bình dân	dish
Com ga rau thom	Cơm gà rau thơm	dish
Com hen	Cơm hến	dish
Com lam	Sticky rice in bamboo	dish
Com nam	Cơm nắm	dish
Com ruou	Cơm rượu	dish
Com suon	Cơm tấm	dish
Com tam	Cơm tấm	dish
Com tấm	Cơm tấm	dish
Comal (cookware)	Comal (cookware)	technique
Combo snacks	Combos	dish
Combos	Combos	dish
Combos Stuffed Snacks	Combos	dish
Combucha	Kombucha	ingredient
Comfect	Comfit	dish
Comfit	Comfit	dish
Comfitmaker	Confectionery	dish
Comfits	Comfit	dish
Comfiture	Comfit	dish
Comlek cheese	Çömlek cheese	ingredient
Common Fig	Fig	dish
Common Sorrel	Sorrel	dish
Common buckwheat	Buckwheat	dish
Common dolphinfish	Mahi-mahi	ingredient
Common fig	Fig	dish
Common jujube	Jujube	ingredient
Common oat	Oat	dish
Common onion	Onion	ingredient
Common pasta	Pasta	dish
Common sorrel	Sorrel	dish
Commonwealth Dairy	Ehrmann Commonwealth Dairy	ingredient
Commonwealth Scone	Scone	dish
Commonwealth scone	Scone	dish
Communist bandit pastries	Communist bandit pastry	dish
Communist bandit pastry	Communist bandit pastry	dish
Companhia Cervejaria Brahma	Brahma (beer)	ingredient
Compania Nacional de Chocolates	Grupo Nutresa	ingredient
Compania de Galletas Noel	Noel (company)	ingredient
Companía Nacional de Chocolates	Grupo Nutresa	ingredient
Compañía Nacional de Chocolates	Grupo Nutresa	ingredient
Compañía de Galletas Noel	Noel (company)	ingredient
Compeito	Konpeitō	ingredient
Compire	Kumpir	dish
Completo	Completo	ingredient
Composed salad	Salad	dish
Compot	Kompot	dish
Compot or uzvar	Kompot	dish
Compote	Compote	dish
Compote (game dish)	Compote (game dish)	dish
Compotes	Compote	dish
Con-Agra	Conagra Brands	ingredient
Con-Agra Foods	Conagra Brands	ingredient
ConAgra	Conagra Brands	ingredient
ConAgra Brands	Conagra Brands	ingredient
ConAgra Foods	Conagra Brands	ingredient
ConAgra Foods Inc.	Conagra Brands	ingredient
ConAgra Foods Incorporated	Conagra Brands	ingredient
ConAgra Foods, Inc.	Conagra Brands	ingredient
Conadria	Fig	dish
Conagra	Conagra Brands	ingredient
Conagra Brands	Conagra Brands	ingredient
Conagra Brands Inc	Conagra Brands	ingredient
Conagra Brands, Inc.	Conagra Brands	ingredient
Conagra Foods	Conagra Brands	ingredient
Conagra Foods Inc	Conagra Brands	ingredient
Concasse	Concasse	technique
Concassé	Concasse	technique
Concha	Concha	dish
Concha (bread)	Concha	dish
Conchae	Concha	dish
Conchiglie	Conchiglie	ingredient
Conchigliette	Conchiglie	ingredient
Conchiglioni	Conchiglie	ingredient
Conchæ	Concha	dish
